id,name,type,gender,date_of_joining,date_of_leave,dob,salary,phone,passwd_hash,address,slot_name
11,Xaviera Glenn,nurse,female,2020-01-03,NULL,1985-09-26,50000,+915067612555,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #238-5867 Condimentum Rd.,Raigarh,India",general
12,Yvette Griffin,nurse,female,2016-07-17,NULL,1980-12-20,50000,+916045854880,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #175-9978 Elit Avenue,Shimla,India",general
13,Azalia Mcfadden,nurse,female,2016-05-18,NULL,1976-11-19,50000,+915825487300,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #683-9372 Congue, St.,Jammu,India",general
14,Kai Keith,nurse,female,2018-10-28,NULL,1993-04-30,50000,+919170120935,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","6140 Nullam Av.,Nagaon,India",general
15,Audrey Mcintyre,nurse,female,2018-06-05,NULL,1981-06-12,50000,+918844231712,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 422, 8709 Luctus Rd.,Lalbahadur Nagar,India",general
16,Eliana Curry,nurse,female,2020-06-06,NULL,1988-05-24,50000,+916499591586,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","486-2617 Ac Ave,Jammu,India",general
17,Alexis Matthews,nurse,female,2016-05-16,NULL,1994-01-15,50000,+915677875780,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","4567 Enim. Av.,Gangtok,India",general
18,Beverly Curtis,nurse,female,2019-05-18,NULL,1982-03-20,50000,+919518396151,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","1410 Ipsum. Road,Imphal,India",general
19,Flavia Castro,nurse,female,2018-05-23,NULL,1987-07-28,50000,+911196666521,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #811-1306 Leo. St.,Puri,India",general
20,Stacy Gibbs,nurse,female,2019-11-24,NULL,1979-12-12,50000,+911736868702,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","8422 Ut Av.,Daman,India",general
21,Gretchen Morris,nurse,female,2018-03-31,NULL,1981-06-06,50000,+912935592849,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 753, 2263 Dictum Ave,Kollam,India",general
22,Kimberley Pope,nurse,female,2017-12-22,NULL,1978-07-19,50000,+915021105971,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","393-3294 Nunc St.,Chandigarh,India",general
23,Regina Raymond,nurse,female,2019-09-09,NULL,1988-09-30,50000,+917044157834,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","305-8443 Dictum Ave,Sagar,India",general
24,Sybill Brooks,nurse,female,2016-04-15,NULL,1984-05-18,50000,+918697469772,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 391, 3873 Adipiscing Rd.,Khandwa,India",general
25,Sarah Spence,nurse,female,2017-04-11,NULL,1987-07-09,50000,+913649727160,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #410-9453 Scelerisque Rd.,Agartala,India",general
26,Faith Cobb,nurse,female,2020-04-18,NULL,1977-05-24,50000,+919043237074,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #927-4855 Vel, Av.,Ganganagar,India",general
27,Karina Mccray,nurse,female,2020-11-20,NULL,1982-10-11,50000,+910291364610,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","9653 Quis Street,Dehradun,India",general
28,Wynne Drake,nurse,female,2018-03-28,NULL,1981-07-08,50000,+917167947610,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 314, 8567 Risus. Street,Kavaratti,India",general
29,Calvin Wood,nurse,male,2019-01-08,NULL,1984-09-03,50000,+917632212841,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","3862 Metus. St.,Aizwal,India",general
30,Howard Barr,nurse,male,2019-03-26,NULL,1983-01-08,50000,+910485380571,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","950-412 Quam, Rd.,Raigarh,India",night
31,Kasimir Miller,nurse,male,2018-07-22,NULL,1976-09-22,50000,+912648718575,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","197-9539 Enim St.,Aurangabad,India",night
32,Coby Ramos,nurse,male,2020-01-30,NULL,1977-06-08,50000,+911787582321,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","473-1044 Mus. St.,Agartala,India",night
33,Sebastian Dixon,nurse,male,2016-06-07,NULL,1991-03-24,50000,+919304838273,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","372-5708 Ipsum St.,Imphal,India",night
34,Keith Henry,nurse,male,2019-10-13,NULL,1986-10-21,50000,+917951270601,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","437-6612 Et, Ave,New Bombay,India",night
35,Rafael Kelly,nurse,male,2017-07-09,NULL,1980-10-10,50000,+915771394360,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","272-7033 Molestie Rd.,Brahmapur,India",night
36,Lucian Cote,nurse,male,2019-03-27,NULL,1992-07-06,50000,+910606090714,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 816, 7067 Ac Avenue,Yeotmal,India",night
37,Dorian Elliott,nurse,male,2020-02-14,NULL,1976-04-26,50000,+919081127173,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 828, 7365 Nunc Rd.,Valparai,India",night
38,Solomon Pickett,nurse,male,2019-12-02,NULL,1989-10-07,50000,+917574042691,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 570, 2462 Metus. Av.,Khammam,India",night
39,Norman Fisher,nurse,male,2016-04-06,NULL,1988-11-27,50000,+919150680043,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 987, 5975 Gravida. Av.,Jaranwala,India",night
40,Clark Guthrie,nurse,female,2017-07-11,NULL,1992-06-29,50000,+913440367384,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #296-9512 Nonummy Road,Agartala,India",night
41,Quentin Nolan,nurse,female,2018-10-05,NULL,1977-11-26,50000,+916007858626,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #983-1485 Nullam Ave,Bikaner,India",night
42,Kennan Barron,nurse,male,2020-11-23,NULL,1983-10-15,50000,+913867097110,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 977, 5108 Duis Rd.,Imphal,India",night
43,Colby Espinoza,nurse,male,2020-05-06,NULL,1980-04-07,50000,+919737351251,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","978-9964 Est Road,Tiruvarur,India",night
44,Alvin Everett,nurse,male,2019-08-25,NULL,1992-01-30,50000,+917257842745,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","5393 Eleifend St.,Ambala Sadar,India",night
45,Nathaniel Moore,nurse,male,2016-07-05,NULL,1985-10-14,50000,+910796406221,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","358 Arcu. Rd.,Jabalpur,India",night
46,Clark Andrews,nurse,male,2018-10-13,NULL,1991-12-31,50000,+914700704145,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","495-4890 Curabitur Avenue,Krishnanagar,India",night
47,Kibo Meyer,pathologist,male,2017-11-13,NULL,1978-09-04,50000,+911996055657,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","7464 Et Street,Mahbubnagar,India",general
48,Thaddeus Reeves,pathologist,male,2020-04-12,NULL,1994-03-22,50000,+912896343270,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 616, 5160 Vivamus Rd.,Aizwal,India",general
49,Channing Dalton,pathologist,male,2019-03-14,NULL,1982-02-19,50000,+915788037025,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","459-3664 Vestibulum Street,Chandigarh,India",general
50,Anthony Valencia,pathologist,male,2016-11-08,NULL,1988-11-19,50000,+913194388930,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","9839 Ante St.,Rajahmundry,India",general
51,Addison Justice,pathologist,male,2020-03-06,NULL,1976-03-21,50000,+919894848640,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #129-7660 Lacus, Rd.,Purnea,India",general
52,Warren Downs,admin,male,2016-10-14,NULL,1991-12-05,50000,+914432077151,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","9233 Non Av.,Shillong,India",general
53,Cody Haney,admin,male,2017-08-05,NULL,1989-03-12,50000,+919763840307,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","119-2665 Iaculis Rd.,Panjim,India",general
54,Aquila Mcgowan,director,male,2016-05-29,NULL,1984-03-05,50000,+914843944801,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 646, 3993 Integer Av.,Panjim,India",general
55,Eric Holden,accountant,male,2019-03-21,NULL,1983-06-04,50000,+912088206824,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","1398 Sed St.,Vejalpur,India",general
56,Hamish Mercer,pharmacy_keeper,male,2016-10-05,NULL,1993-07-26,50000,+913903527451,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 371, 6824 Sit Rd.,Nizamabad,India",general
57,Philip Rodriquez,pharmacy_keeper,male,2019-06-22,NULL,1991-02-17,50000,+918245598021,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","767 Dolor. Ave,Kavaratti,India",night
